_id,Nombre,Tipo,Fecha_inicio,idCoordinador,idColaborador,Description,Estado
300,Bienvenida a estudiantes de nivelación,Evento,2021-05-23,,"{300008,300015}",Concebido para dar la bienvenida a los nuevos estudiantes con la finalidad de hacer mas facil su incorporacion a la vida universitaria.,Inactivo
301,Feria de Clubes,Evento,2021-05-14,{300024},,Dirigido para mostrar la variedad de  clubes y sus actividades de la universidad.,Inactivo
302,Academic and Health,Proyecto,2020-11-28,,"{300024,300022}","Enfocado en potenciar las habilidades de disciplina, compromiso, organización y manejo de tiempos a través de actividades que fortalezcan los ámbitos mental, nutricional y físico del estudiante.",Activo
303,Learning Coach,Proyecto,2020-11-11,{300015},,"Ideado con el fin de recopilar y enseñar tips para un mejor rendimiento academico y vida universitaria, aquellas herramietas que no te dan al inciar la Universidad pero son muy útiles para toda la carrera.",Inactivo
304,Equilibrium,Proyecto,2020-12-17,,"{300012,300017}",Busca proveer un espacio seguro donde los estudiantes de la U puedan tratar abiertamente temas de salud emocional que afectan su rendimiento académico mediante la aplicación de terapia grupal con el fin de disminuir las tasas de deserción y asegurar el éxito estudiantil.,Activo
305,Linked,Proyecto,2021-05-30,{300032},,"Busca crear un comunicación entre escuelas para mantener informado a estudiantes y profesores de actividades, investigaciones, proyectos de vinculación, entre otros. Con la finalidad de poder formar una cominudad multidisciplinaria",Activo
306,Interfacultades,Proyecto,2021-05-01,{300021},,Ideado para generar un impacto positivo en los estudiantes  mediante actividades ludicas y de ocio.,Activo
307,Comunicación y Asesoría continua de estudiantes de nivelación y primer semestre,Evento,2021-04-22,,"{300015,300021}",Generado para realizar un seguimiento continuo de los estudiantes primerizos  despues de su bienvenida.,Activo
